unit,day,minutes,size_mb,width,height,topic_guess,path
5,5,13.28,290.6,1440,1920,U5-D5,teacher and student work/Copy of Algebra 2B (Khan) G Block 25/U5-D5 Video (23-24)(1).mp4
5,6,14.19,344.7,1440,1920,U5-D6,teacher and student work/Copy of Algebra 2B (Khan) G Block 25/U5-D6 Video (23-24)(1).mp4
review,,13.79,349.2,1440,1920,U1 Review,teacher and student work/Copy of Algebra 2B (Khan) G Block 26/U1 Review Video(1).mp4
2,2,26.06,85.7,1920,1440,U2 - D2,teacher and student work/Copy of Algebra 2B (Khan) G Block 26/U2 - D2 Video(1).mp4
4,4,11.16,129.5,640,480,U4-D4,teacher and student work/Copy of Algebra 2B (Khan) G Block 26/U4-D4 Video(1).mov
5,3,18.53,628.2,1440,1920,U5-D3 1.41.21 PM,teacher and student work/Copy of Algebra 2B (Khan) G Block 26/U5-D3 Video (23-24) 1.41.21 PM(1).mp4
6,1,5.62,163.3,1440,1920,U6-D1,teacher and student work/Copy of Algebra 2B (Khan) G Block 26/U6-D1 Video Part 2 (23-24)(1).MP4
6,1,4.12,197.1,1440,1920,U6-D1 part 1,teacher and student work/Copy of Algebra 2B (Khan) G Block 26/U6-D1 video part 1 (23-24)(1).mp4
6,4,4.78,137.7,1440,1920,U6-D4,teacher and student work/Copy of Algebra 2B (Khan) G Block 26/U6-D4 Video Part 1 (23-24)(1).mp4
2,1,18.18,487.6,1440,1920,U2-D1,teacher and student work/Copy of Algebra 2B (Khan) G Block 3/U2-D1 Video (25-26).MP4
3,1,14.28,488.1,1440,1920,U3-D1,teacher and student work/Copy of Algebra 2B (Khan) G Block 3/U3-D1 Video (25-26).MP4
3,2,10.42,400.2,1440,1920,U3-D2,teacher and student work/Copy of Algebra 2B (Khan) G Block 3/U3-D2 Video (25-26).MP4
3,3,7.99,278.5,1440,1920,U3-D3 (),teacher and student work/Copy of Algebra 2B (Khan) G Block 3/U3-D3 Video (Part 1) 25-26.MP4
3,3,10.74,368.1,1440,1920,U3-D3 (),teacher and student work/Copy of Algebra 2B (Khan) G Block 3/U3-D3 Video (Part 2) 25-26.MP4
1,6,10.28,259.0,1440,1920,U1-D6,teacher and student work/Copy of Algebra 2B (Khan) G Block 4/U1-D6 Video (25-26).MP4
2,7,8.88,300.6,1440,1920,U2-D7 (),teacher and student work/Copy of Algebra 2B (Khan) G Block 4/U2-D7 Video (Part 1) 25-26.MP4
2,8,26.0,911.7,1440,1920,U2-D8,teacher and student work/Copy of Algebra 2B (Khan) G Block 4/U2-D8 Video (25-26).MP4
